idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text
353,images/ravdess_subset/Actor_13/03-01-02-02-02-01-13.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
29,images/ravdess_subset/Actor_08/03-01-03-02-01-02-08.wav,Happy,3,2,1,Female,3,3 4 6,3 4 6,3 4 6,3 4 6,The best answer is 3. Happy.,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
149,images/ravdess_subset/Actor_10/03-01-04-01-02-02-10.wav,Sad,4,3,1,Female,2,1 2 4,2 4,1 2 4,2 4,The best answer is 4. Sad.,1. Neutral  2. Calm  4. Sad,2. Calm  4. Sad,1. Neutral  2. Calm  4. Sad,2. Calm  4. Sad
48,images/ravdess_subset/Actor_21/03-01-05-01-01-02-21.wav,Angry,5,4,0,Male,5,3 5 6,5,5,5,The best answer is 5. Angry.,3. Happy  5. Angry  6. Fearful,5. Angry,5. Angry,5. Angry
356,images/ravdess_subset/Actor_21/03-01-06-02-01-01-21.wav,Fearful,6,5,0,Male,6,3 4 6,3 6,3 4 6,3 4 6,The best answer is 6. Fearful.,3. Happy  4. Sad  6. Fearful,3. Happy  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
327,images/ravdess_subset/Actor_01/03-01-07-01-02-01-01.wav,Disgust,7,6,0,Male,7,2 4 7,7,2 7,2 4 7,The best answer is 7. Disgust.,2. Calm  4. Sad  7. Disgust,7. Disgust,2. Calm  7. Disgust,2. Calm  4. Sad  7. Disgust
345,images/ravdess_subset/Actor_13/03-01-08-02-02-02-13.wav,Surprised,8,7,0,Male,8,1 3 8,3 8,8,1 3 8,The best answer is 8. Surprised.,1. Neutral  3. Happy  8. Surprised,3. Happy  8. Surprised,8. Surprised,1. Neutral  3. Happy  8. Surprised
144,images/ravdess_subset/Actor_13/03-01-01-01-02-02-13.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
171,images/ravdess_subset/Actor_08/03-01-01-01-02-01-08.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
153,images/ravdess_subset/Actor_14/03-01-01-01-01-01-14.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
167,images/ravdess_subset/Actor_19/03-01-01-01-01-02-19.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
198,images/ravdess_subset/Actor_12/03-01-01-01-02-02-12.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
210,images/ravdess_subset/Actor_16/03-01-01-01-01-01-16.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
109,images/ravdess_subset/Actor_08/03-01-01-01-01-02-08.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
279,images/ravdess_subset/Actor_18/03-01-01-01-02-02-18.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,2. Calm
283,images/ravdess_subset/Actor_23/03-01-01-01-02-02-23.wav,Neutral,1,0,0,Male,1,1 2 4,1 2,1 2,1 2 4,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad
267,images/ravdess_subset/Actor_13/03-01-01-01-01-01-13.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
266,images/ravdess_subset/Actor_05/03-01-01-01-01-01-05.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
213,images/ravdess_subset/Actor_08/03-01-01-01-02-02-08.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
78,images/ravdess_subset/Actor_01/03-01-01-01-02-02-01.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2 4,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad
7,images/ravdess_subset/Actor_07/03-01-01-01-02-01-07.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
315,images/ravdess_subset/Actor_02/03-01-01-01-01-01-02.wav,Neutral,1,0,1,Female,1,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
319,images/ravdess_subset/Actor_04/03-01-01-01-02-01-04.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
331,images/ravdess_subset/Actor_21/03-01-01-01-01-01-21.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
333,images/ravdess_subset/Actor_15/03-01-01-01-01-02-15.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
0,images/ravdess_subset/Actor_19/03-01-01-01-02-01-19.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
39,images/ravdess_subset/Actor_12/03-01-01-01-01-02-12.wav,Neutral,1,0,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
349,images/ravdess_subset/Actor_05/03-01-01-01-01-02-05.wav,Neutral,1,0,0,Male,2,1 2 4,1 2,1 2,1 2 4,The best answer is 1. Neutral.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad
56,images/ravdess_subset/Actor_14/03-01-02-02-01-02-14.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
57,images/ravdess_subset/Actor_01/03-01-02-02-01-02-01.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
148,images/ravdess_subset/Actor_20/03-01-02-01-01-01-20.wav,Calm,2,1,1,Female,2,1 2 4,2,2 4,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm  4. Sad,2. Calm
256,images/ravdess_subset/Actor_01/03-01-02-01-02-01-01.wav,Calm,2,1,0,Male,2,1 2 4,1 2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,1. Neutral  2. Calm
257,images/ravdess_subset/Actor_16/03-01-02-01-01-01-16.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
133,images/ravdess_subset/Actor_09/03-01-02-02-01-02-09.wav,Calm,2,1,0,Male,2,2 4 7,2,2,2 4 7,The best answer is 2. Calm.,2. Calm  4. Sad  7. Disgust,2. Calm,2. Calm,2. Calm  4. Sad  7. Disgust
25,images/ravdess_subset/Actor_10/03-01-02-01-02-01-10.wav,Calm,2,1,1,Female,2,1 2 4,1 2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,2. Calm
74,images/ravdess_subset/Actor_15/03-01-02-01-02-01-15.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
77,images/ravdess_subset/Actor_08/03-01-02-01-02-02-08.wav,Calm,2,1,1,Female,2,1 2 4,1 2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,2. Calm
242,images/ravdess_subset/Actor_18/03-01-02-01-01-02-18.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
243,images/ravdess_subset/Actor_09/03-01-02-01-01-01-09.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
159,images/ravdess_subset/Actor_07/03-01-02-02-02-02-07.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
164,images/ravdess_subset/Actor_18/03-01-02-02-02-02-18.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,2. Calm
96,images/ravdess_subset/Actor_15/03-01-02-02-02-02-15.wav,Calm,2,1,0,Male,2,1 2 7,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,1. Neutral  2. Calm
264,images/ravdess_subset/Actor_01/03-01-02-01-01-01-01.wav,Calm,2,1,0,Male,2,1 2 7,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,1. Neutral  2. Calm
123,images/ravdess_subset/Actor_17/03-01-02-01-01-01-17.wav,Calm,2,1,0,Male,2,1 2 4,1 2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,1. Neutral  2. Calm
125,images/ravdess_subset/Actor_11/03-01-02-01-01-02-11.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
126,images/ravdess_subset/Actor_20/03-01-02-02-02-02-20.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
230,images/ravdess_subset/Actor_01/03-01-02-01-01-02-01.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
165,images/ravdess_subset/Actor_02/03-01-02-01-01-01-02.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
172,images/ravdess_subset/Actor_06/03-01-02-02-01-02-06.wav,Calm,2,1,1,Female,2,1 2 7,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,2. Calm
175,images/ravdess_subset/Actor_24/03-01-02-01-01-02-24.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,1. Neutral  2. Calm
268,images/ravdess_subset/Actor_23/03-01-02-01-01-02-23.wav,Calm,2,1,0,Male,2,1 2 4,1 2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,1. Neutral  2. Calm
275,images/ravdess_subset/Actor_05/03-01-02-02-01-02-05.wav,Calm,2,1,0,Male,2,1 2 7,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,1. Neutral  2. Calm
111,images/ravdess_subset/Actor_07/03-01-02-01-02-01-07.wav,Calm,2,1,0,Male,2,1 2 4,1 2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,1. Neutral  2. Calm
113,images/ravdess_subset/Actor_12/03-01-02-02-01-02-12.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
114,images/ravdess_subset/Actor_14/03-01-02-02-02-02-14.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,2. Calm
181,images/ravdess_subset/Actor_06/03-01-02-01-01-01-06.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
296,images/ravdess_subset/Actor_13/03-01-02-02-02-02-13.wav,Calm,2,1,0,Male,2,1 2 4,1 2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,1. Neutral  2. Calm
297,images/ravdess_subset/Actor_22/03-01-02-01-01-02-22.wav,Calm,2,1,1,Female,2,1 2 4,1 2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,2. Calm
303,images/ravdess_subset/Actor_03/03-01-02-01-01-01-03.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
306,images/ravdess_subset/Actor_08/03-01-02-01-02-01-08.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
312,images/ravdess_subset/Actor_04/03-01-02-02-02-02-04.wav,Calm,2,1,1,Female,2,2 4 7,2,2 4,2,The best answer is 2. Calm.,2. Calm  4. Sad  7. Disgust,2. Calm,2. Calm  4. Sad,2. Calm
209,images/ravdess_subset/Actor_06/03-01-02-01-02-02-06.wav,Calm,2,1,1,Female,2,1 2 7,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,2. Calm
211,images/ravdess_subset/Actor_01/03-01-02-02-02-01-01.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
103,images/ravdess_subset/Actor_21/03-01-02-02-01-02-21.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
191,images/ravdess_subset/Actor_22/03-01-02-02-01-01-22.wav,Calm,2,1,1,Female,2,1 2 7,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,2. Calm
135,images/ravdess_subset/Actor_22/03-01-02-02-02-01-22.wav,Calm,2,1,1,Female,2,1 2 4,1 2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,2. Calm,2. Calm
30,images/ravdess_subset/Actor_16/03-01-02-02-02-02-16.wav,Calm,2,1,1,Female,2,1 2 4,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,2. Calm
35,images/ravdess_subset/Actor_03/03-01-02-01-02-01-03.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2 4,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm  4. Sad
330,images/ravdess_subset/Actor_10/03-01-02-01-01-02-10.wav,Calm,2,1,1,Female,2,1 2 4,1 2,1 2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm,2. Calm
64,images/ravdess_subset/Actor_06/03-01-02-02-02-01-06.wav,Calm,2,1,1,Female,2,1 2 7,2,2,2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,2. Calm
67,images/ravdess_subset/Actor_09/03-01-02-02-01-01-09.wav,Calm,2,1,0,Male,2,2 4 7,2 4,2 4,2 4 7,The best answer is 2. Calm.,2. Calm  4. Sad  7. Disgust,2. Calm  4. Sad,2. Calm  4. Sad,2. Calm  4. Sad  7. Disgust
323,images/ravdess_subset/Actor_13/03-01-02-01-01-01-13.wav,Calm,2,1,0,Male,2,1 2 4,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  4. Sad,2. Calm,2. Calm,1. Neutral  2. Calm
70,images/ravdess_subset/Actor_05/03-01-02-01-02-01-05.wav,Calm,2,1,0,Male,2,1 2 7,2,2,1 2,The best answer is 2. Calm.,1. Neutral  2. Calm  7. Disgust,2. Calm,2. Calm,1. Neutral  2. Calm
314,images/ravdess_subset/Actor_01/03-01-03-02-01-01-01.wav,Happy,3,2,0,Male,4,1 2 4,1 2 3 4,1 2 4,1 2 4,The best answer is 3. Happy.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm  3. Happy  4. Sad,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm  4. Sad
19,images/ravdess_subset/Actor_01/03-01-03-01-01-02-01.wav,Happy,3,2,0,Male,1,1 2 4,1 2,1 2 4,1 2 4,The best answer is 3. Happy.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm  4. Sad
22,images/ravdess_subset/Actor_18/03-01-03-02-01-01-18.wav,Happy,3,2,1,Female,6,3 6 8,3 6 8,3 6 8,3 6,The best answer is 3. Happy.,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful  8. Surprised,3. Happy  6. Fearful
325,images/ravdess_subset/Actor_11/03-01-03-02-01-02-11.wav,Happy,3,2,0,Male,5,3 5 8,3 5 6 8,3 5 8,3 5 8,The best answer is 3. Happy.,3. Happy  5. Angry  8. Surprised,3. Happy  5. Angry  6. Fearful  8. Surprised,3. Happy  5. Angry  8. Surprised,3. Happy  5. Angry  8. Surprised
293,images/ravdess_subset/Actor_11/03-01-03-01-01-01-11.wav,Happy,3,2,0,Male,1,1 2 4,1 2,1 2 4,1 2 4,The best answer is 3. Happy.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm  4. Sad
205,images/ravdess_subset/Actor_16/03-01-03-01-01-01-16.wav,Happy,3,2,1,Female,1,1 3 8,1 3 4 8,1 3 8,1 3 8,The best answer is 3. Happy.,1. Neutral  3. Happy  8. Surprised,1. Neutral  3. Happy  4. Sad  8. Surprised,1. Neutral  3. Happy  8. Surprised,1. Neutral  3. Happy  8. Surprised
290,images/ravdess_subset/Actor_06/03-01-03-02-01-02-06.wav,Happy,3,2,1,Female,6,3 4 6,3 6,3 4 6,3 6,The best answer is 3. Happy.,3. Happy  4. Sad  6. Fearful,3. Happy  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  6. Fearful
102,images/ravdess_subset/Actor_22/03-01-03-01-01-01-22.wav,Happy,3,2,1,Female,1,1 2 4,1 2,1 2 4,1 2,The best answer is 3. Happy.,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm,1. Neutral  2. Calm  4. Sad,1. Neutral  2. Calm
104,images/ravdess_subset/Actor_09/03-01-03-02-02-01-09.wav,Happy,3,2,0,Male,6,3 5 6,3 5 6 8,3 5 6,3 5 6,The best answer is 3. Happy.,3. Happy  5. Angry  6. Fearful,3. Happy  5. Angry  6. Fearful  8. Surprised,3. Happy  5. Angry  6. Fearful,3. Happy  5. Angry  6. Fearful
294,images/ravdess_subset/Actor_18/03-01-03-01-02-02-18.wav,Happy,3,2,1,Female,1,1 3 8,1 3 8,1 3 8,1 3 8,The best answer is 3. Happy.,1. Neutral  3. Happy  8. Surprised,1. Neutral  3. Happy  8. Surprised,1. Neutral  3. Happy  8. Surprised,1. Neutral  3. Happy  8. Surprised
295,images/ravdess_subset/Actor_08/03-01-03-02-02-02-08.wav,Happy,3,2,1,Female,6,3 4 6,3 4 6,3 4 6,3 4 6,The best answer is 3. Happy.,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
307,images/ravdess_subset/Actor_24/03-01-03-02-01-02-24.wav,Happy,3,2,1,Female,3,3 4 6,3 4 6,3 4 6,3 4 6,The best answer is 3. Happy.,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful,3. Happy  4. Sad  6. Fearful
