idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text,prompt_original
41,She teaches networking and security courses at both undergraduate and graduate levels.Her current research interests are in security for resource constrained networks and critical infrastructure protection.,Professor,0,21,0,Female,0,1 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"She teaches networking and security courses at both undergraduate and graduate levels. Her current research interests are in security for resource constrained networks and critical infrastructure protection. Funding sources for Dr. Mishra's current and past projects include National Science Foundation, Department of Homeland Security, Air Force Research Lab - Rome, Air Force Research Lab - Wright Patterson, NASA and Boeing. She is a board member and membership co-chair of ACM Networking Networking(N2) Women, and Secretary of the IEEE Joint Communications and Aerospace Society, Rochester chapter. Dr. Mishra has served on program committees of several IEEE and ACM conferences. She has published over 60 articles in national and international journals and conferences."
203,"Ms. Porter practices medicine in Davis, CA and specializes in Family Medicine. Ms. Porter is affiliated with UC Davis Medical Center. Ms. Porter speaks English and Spanish.",Physician,1,19,0,Female,1,1 4 6 ,1 ,1 ,1 ,The best answer is 1. Physician.,1. Physician  4. Psychologist  6. Dentist,1. Physician,1. Physician,1. Physician,"Ms. Porter practices medicine in Davis, CA and specializes in Family Medicine. Ms. Porter is affiliated with UC Davis Medical Center. Ms. Porter speaks English and Spanish."
461,"He specializes in futuristic design, paired with high practicality. The Mini Slik Boker has a tanto blade that can be used for a variety of cutting tasks. The blade is relatively strong with 4 mm thickness but still has a thin blade tip. Customers Also Bought",Photographer,2,18,1,Male,9,5 7 9 ,9 ,7 9 ,5 7 9 ,The best answer is 2. Photographer.,5. Teacher  7. Surgeon  9. Model,9. Model,7. Surgeon  9. Model,5. Teacher  7. Surgeon  9. Model,"He specializes in futuristic design, paired with high practicality. The Mini Slik Boker has a tanto blade that can be used for a variety of cutting tasks. The blade is relatively strong with 4 mm thickness but still has a thin blade tip. Customers Also Bought"
607,"She also frequently produces video reports for Democracy Now ! and Free Speech Television. She has reported from conflicts in Mexico, Argentina, South Africa, Afghanistan, Palestine, and the U.S.",Journalist,3,11,0,Female,3,2 3 0 ,3 ,3 ,3 ,The best answer is 3. Journalist.,2. Photographer  3. Journalist  0. Professor,3. Journalist,3. Journalist,3. Journalist,"She also frequently produces video reports for Democracy Now ! and Free Speech Television. She has reported from conflicts in Mexico, Argentina, South Africa, Afghanistan, Palestine, and the U.S."
814,"A psychologist focuses on the evaluation, prevention, diagnosis, and treatment of mental, emotional and behavioral health issues. A clinical psychologist uses psychotherapy and other counseling skills to improve emotional and mental health. Please call First Friends at(662) 256-9730 to schedule an appointment in Amory, MS or to get...",Psychologist,4,22,0,Female,4,1 4 0 ,4 ,4 ,4 ,The best answer is 4. Psychologist.,1. Physician  4. Psychologist  0. Professor,4. Psychologist,4. Psychologist,4. Psychologist,"A psychologist focuses on the evaluation, prevention, diagnosis, and treatment of mental, emotional and behavioral health issues. A clinical psychologist uses psychotherapy and other counseling skills to improve emotional and mental health. Please call First Friends at(662) 256-9730 to schedule an appointment in Amory, MS or to get..."
1195,"An East San Jose native who is bilingual in English and Spanish, Hickey lends his knowledge to other fellow educators as president of United Teachers of Santa Clara. The union is affiliated with California Teachers Association(CTA) and the National Education Association(NEA).",Teacher,5,26,1,Male,5,1 5 6 ,5 ,5 6 ,5 ,The best answer is 5. Teacher.,1. Physician  5. Teacher  6. Dentist,5. Teacher,5. Teacher  6. Dentist,5. Teacher,"An East San Jose native who is bilingual in English and Spanish, Hickey lends his knowledge to other fellow educators as president of United Teachers of Santa Clara. The union is affiliated with California Teachers Association(CTA) and the National Education Association(NEA)."
1261,"Dr. Petcu and his team provide a wide range of services and are committed to high quality, professional care through the use of laser dentistry and other advanced techniques. To learn more about Dr. Petcu or the services offered at Smiles and More Dental, please visit their website atURL or call(508) 533-8433 to schedule an appointment.",Dentist,6,6,1,Male,6,4 6 7 ,6 ,6 ,4 6 ,The best answer is 6. Dentist.,4. Psychologist  6. Dentist  7. Surgeon,6. Dentist,6. Dentist,4. Psychologist  6. Dentist,"Dr. Petcu and his team provide a wide range of services and are committed to high quality, professional care through the use of laser dentistry and other advanced techniques. To learn more about Dr. Petcu or the services offered at Smiles and More Dental, please visit their website at[URL] or call(508) 533-8433 to schedule an appointment."
1455,"Ms. Marilyn J. Seashole's NPI Number is # 1639178593 and has been listed in the NPI registry for 11 years. Ms. Marilyn J. Seashole's practice location is listed as : 2002 Medical Pkwy Suite 120 Annapolis, MD 21401-3046 and can be reached via phone at(443) 481-5300.",Surgeon,7,25,0,Female,1,1 4 6 ,1 ,1 ,1 ,The best answer is 7. Surgeon.,1. Physician  4. Psychologist  6. Dentist,1. Physician,1. Physician,1. Physician,"Ms. Marilyn J. Seashole's NPI Number is # 1639178593 and has been listed in the NPI registry for 11 years. Ms. Marilyn J. Seashole's practice location is listed as : 2002 Medical Pkwy Suite 120 Annapolis, MD 21401-3046 and can be reached via phone at(443) 481-5300."
1642,"His work is possessed of a most astonishing quality : a primal joy, a continuing infatuation perhaps, with the very purpose of being the painter, of looking at art and making pictures.-Israel Hershberg Founder & Director at JSS in Civita, Jerusalem Studio School in Civita",Painter,8,14,1,Male,8,2 5 8 ,2 8 ,2 8 ,2 5 8 ,The best answer is 8. Painter.,2. Photographer  5. Teacher  8. Painter,2. Photographer  8. Painter,2. Photographer  8. Painter,2. Photographer  5. Teacher  8. Painter,"His work is possessed of a most astonishing quality : a primal joy, a continuing infatuation perhaps, with the very purpose of being the painter, of looking at art and making pictures.-Israel Hershberg Founder & Director at JSS in Civita, Jerusalem Studio School in Civita"
1946,"She's a beauty pageant winner, spokesmodel and eyecandy model who holds a PhD in psychology. Involved in community and church, she uses modeling to bring attention to causes she believe... Mrs Nigeria PageantsKansas City, MO",Model,9,12,0,Female,3,3 5 9 ,3 5 9 ,2 3 5 9 ,3 5 9 ,The best answer is 9. Model.,3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  9. Model,2. Photographer  3. Journalist  5. Teacher  9. Model,3. Journalist  5. Teacher  9. Model,"She's a beauty pageant winner, spokesmodel and eyecandy model who holds a PhD in psychology. Involved in community and church, she uses modeling to bring attention to causes she believe... Mrs Nigeria PageantsKansas City, MO"
42,"He has taught Real Estate Investments & Finance, Advanced Real Estate, and Corporate Finance at the MBA and Executive MBA levels.His current research is related to REITs, retail real estate, and corporate real estate.Dr. Park has over 12 years of experience in law, Silicon Valley technology start-up, management consulting, hedge fund, and global real estate investment and finance.",Professor,0,21,1,Male,0,1 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,1. Physician  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"He has taught Real Estate Investments & Finance, Advanced Real Estate, and Corporate Finance at the MBA and Executive MBA levels. His current research is related to REITs, retail real estate, and corporate real estate. Dr. Park has over 12 years of experience in law, Silicon Valley technology start-up, management consulting, hedge fund, and global real estate investment and finance. He has worked and lived in the U.S., Asia, and Europe."
204,"Mr. Courtox practices medicine in Portland, OR and specializes in Congenital Cardiac Surgery(Thoracic Surgery). Mr. Courtox is affiliated with Tuality Community Hospital and Good Samaritan Regional Medical Center. Mr. Courtox speaks English and Spanish.",Physician,1,19,1,Male,1,1 6 7 ,1 6 ,1 ,1 6 ,The best answer is 1. Physician.,1. Physician  6. Dentist  7. Surgeon,1. Physician  6. Dentist,1. Physician,1. Physician  6. Dentist,"Mr. Courtox practices medicine in Portland, OR and specializes in Congenital Cardiac Surgery(Thoracic Surgery). Mr. Courtox is affiliated with Tuality Community Hospital and Good Samaritan Regional Medical Center. Mr. Courtox speaks English and Spanish."
462,"Born in Argentina, and raised in Brazil, Bolivia, Costa Rica and Nicaragua, he is fluent in Portuguese, Spanish, and French.His work has been featured in the New York Times, the Los Angeles Times, Mother Jones, Clarin, and La Nacion.He has participated in exhibits in the United States and throughout Latin America.",Photographer,2,18,1,Male,2,2 3 8 ,2 ,2 ,2 ,The best answer is 2. Photographer.,2. Photographer  3. Journalist  8. Painter,2. Photographer,2. Photographer,2. Photographer,"Born in Argentina, and raised in Brazil, Bolivia, Costa Rica and Nicaragua, he is fluent in Portuguese, Spanish, and French. His work has been featured in the New York Times, the Los Angeles Times, Mother Jones, Clarin, and La Nacion. He has participated in exhibits in the United States and throughout Latin America. He received a BFA from New York University and an award for ""Continuous Excellency in Documentary Photography. """
648,"She was Billboard magazine's film and TV editor, and she has written for People magazine, The Hollywood Reporter and Reuters. Hay has also interviewed hundreds of celebrities and filmmakers. She also watches...",Journalist,3,11,0,Female,3,2 3 9 ,3 ,2 3 ,3 ,The best answer is 3. Journalist.,2. Photographer  3. Journalist  9. Model,3. Journalist,2. Photographer  3. Journalist,3. Journalist,"She was Billboard magazine's film and TV editor, and she has written for People magazine, The Hollywood Reporter and Reuters. Hay has also interviewed hundreds of celebrities and filmmakers. She also watches..."
813,"He is the Coordinator for Graduate Student Counseling Services at University of California, Davis.Dr. Roe has hands on experience working closely with international students in a variety of contexts including mental health counseling, academic advising, and consultation.",Psychologist,4,22,1,Male,4,4 5 0 ,4 0 ,4 ,4 0 ,The best answer is 4. Psychologist.,4. Psychologist  5. Teacher  0. Professor,4. Psychologist  0. Professor,4. Psychologist,4. Psychologist  0. Professor,"He is the Coordinator for Graduate Student Counseling Services at University of California, Davis. Dr. Roe has hands on experience working closely with international students in a variety of contexts including mental health counseling, academic advising, and consultation. He also currently facilitates an international graduate student counseling group and works with members to be successful both in academics and in life. He has previously participated in numerous programs and workshops addressing intersections of identity, cross culture communication, and multicultural immersion. Some of these programs include ""Reaffirming Ethnic Awareness and Community Harmony(REACH) "", ""Multicultural Immersion Program(MIP) "", and ""Mentoring at Critical Transitions ""."
1196,The article is based on the long essay presented as part fulfilment of the requirements for the Post Grad. Dip. in Education(Administration & Management) at the University of Malta in 2005.,Teacher,5,26,0,Female,0,3 5 0 ,5 0 ,3 5 0 ,3 5 0 ,The best answer is 5. Teacher.,3. Journalist  5. Teacher  0. Professor,5. Teacher  0. Professor,3. Journalist  5. Teacher  0. Professor,3. Journalist  5. Teacher  0. Professor,The article is based on the long essay presented as part fulfilment of the requirements for the Post Grad. Dip. in Education(Administration & Management) at the University of Malta in 2005.
1262,She has 8 years of experience. Her specialties include General Dentistry. Dr. Joseph is affiliated with University of Texas-M D Anderson Cancer Center. She speaks English.,Dentist,6,6,0,Female,6,1 6 7 ,6 ,6 ,6 ,The best answer is 6. Dentist.,1. Physician  6. Dentist  7. Surgeon,6. Dentist,6. Dentist,6. Dentist,She has 8 years of experience. Her specialties include General Dentistry. Dr. Joseph is affiliated with University of Texas-M D Anderson Cancer Center. She speaks English.
1400,"Louis.He is Director of the Center for Innovation in Neuroscience and Technology and the Brain Laser Center.His work has yielded him numerous accolades as a scientist, a neurosurgeon, and an inventor.He was named one of the Top Young Innovators by MIT's magazine Technology Review.The magazine names individuals under the age of 35 each year whose work in technology has global impact.",Surgeon,7,25,1,Male,0,4 7 0 ,0 ,0 ,0 ,The best answer is 7. Surgeon.,4. Psychologist  7. Surgeon  0. Professor,0. Professor,0. Professor,0. Professor,"Louis. He is Director of the Center for Innovation in Neuroscience and Technology and the Brain Laser Center. His work has yielded him numerous accolades as a scientist, a neurosurgeon, and an inventor. He was named one of the Top Young Innovators by MIT's magazine Technology Review. The magazine names individuals under the age of 35 each year whose work in technology has global impact. In addition to numerous peer reviewed publications, Leuthardt has numerous patents on file with the U.S. Patent and Trademark Office for medical devices and brain computer interface technologies."
1643,"She paints from a makeshift studio in her basement, work that is thriving with emotion and autobiography. Both Celia and her work embrace the chaos of everyday life and the magic in the simple things. She is passionate about working in educational contexts with groups with learning disabilities and mental health issues, and using art in a transformative way.",Painter,8,14,0,Female,8,2 5 8 ,2 8 ,2 8 ,8 ,The best answer is 8. Painter.,2. Photographer  5. Teacher  8. Painter,2. Photographer  8. Painter,2. Photographer  8. Painter,8. Painter,"She paints from a makeshift studio in her basement, work that is thriving with emotion and autobiography. Both Celia and her work embrace the chaos of everyday life and the magic in the simple things. She is passionate about working in educational contexts with groups with learning disabilities and mental health issues, and using art in a transformative way."
1947,"She is fifteen years old from Indonesia and has been described by her friends as ""humorous, easy to get along with, and multi talented. ""When Yukojati is not surfing, she can be found playing guitar. She enjoys playing music because it is a chance to get all of her friends together to sing. Yukojati desires to be an icon for other young surfers to look up to. Ronald Hastings- Jamaica",Model,9,12,0,Female,9,3 5 9 ,9 ,9 ,9 ,The best answer is 9. Model.,3. Journalist  5. Teacher  9. Model,9. Model,9. Model,9. Model,"She is fifteen years old from Indonesia and has been described by her friends as ""humorous, easy to get along with, and multi talented. ""When Yukojati is not surfing, she can be found playing guitar. She enjoys playing music because it is a chance to get all of her friends together to sing. Yukojati desires to be an icon for other young surfers to look up to. Ronald Hastings- Jamaica"
43,"She obtained her PhD from the Department of Genetics and Development, Columbia P&S and did post-doctoral work at the Ecole Normale Superieure and at the University of Chicago. She came to Yale in 2004.",Professor,0,21,0,Female,0,3 4 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,3. Journalist  4. Psychologist  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"She obtained her PhD from the Department of Genetics and Development, Columbia P&S and did post-doctoral work at the Ecole Normale Superieure and at the University of Chicago. She came to Yale in 2004."
44,"She obtained a B.Sc.(Surveying) and a M.Sc.(Engineering) specializing in global positioning systems from the University of Cape Town.In 2008, Jenny obtained her Ph.D from the University of Calgary applying critical realism, systems theory and mixed methods to a case of fiscal cadastral systems reform.She is a Professional Land Surveyor and lectures advanced surveying and land law.",Professor,0,21,0,Female,0,4 5 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,0. Professor,"She obtained a B.Sc.(Surveying) and a M.Sc.(Engineering) specializing in global positioning systems from the University of Cape Town. In 2008, Jenny obtained her Ph. D from the University of Calgary applying critical realism, systems theory and mixed methods to a case of fiscal cadastral systems reform. She is a Professional Land Surveyor and lectures advanced surveying and land law. Research interests are land tenure and cadastral systems with specific interest in sustainable development and resilience in land holding for the poor, historical property holding, and cadastral issues in the coastal zone."
45,"She is the winner of Dorothy Sargent Rosenberg Prizes and a Leeway Poetry Grant, and has co-authored two books, Teachers Act Up : Creating Multicultural Learning Communities Through Theatre and Arts-Based Research in Education.",Professor,0,21,0,Female,0,4 5 0 ,5 0 ,3 4 5 0 ,5 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,5. Teacher  0. Professor,3. Journalist  4. Psychologist  5. Teacher  0. Professor,5. Teacher  0. Professor,"She is the winner of Dorothy Sargent Rosenberg Prizes and a Leeway Poetry Grant, and has co-authored two books, Teachers Act Up : Creating Multicultural Learning Communities Through Theatre and Arts-Based Research in Education."
46,"Her paper, ""Restriction of Normal Activities Among Older Amputees : The Role of Public Self Consciousness "", is to appear in an upcoming issue of the Journal of Geropsychology.",Professor,0,21,0,Female,0,4 7 0 ,4 0 ,4 0 ,4 0 ,The best answer is 0. Professor.,4. Psychologist  7. Surgeon  0. Professor,4. Psychologist  0. Professor,4. Psychologist  0. Professor,4. Psychologist  0. Professor,"Her paper, ""Restriction of Normal Activities Among Older Amputees : The Role of Public Self Consciousness "", is to appear in an upcoming issue of the Journal of Geropsychology."
47,"His research explores the intersection of Indigenous Studies, Environmental Studies, and Literary and Visual Arts modernisms.He is at work on two book projects : Ordinary Empire : Native Modernisms and the Ecologies of Settlement and Scale Exhaustion : The Aesthetics of Environmentalism.He received his PhD in English and Native American Studies from the University of Wisconsin-Madison.",Professor,0,21,1,Male,0,2 4 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,2. Photographer  4. Psychologist  0. Professor,0. Professor,0. Professor,0. Professor,"His research explores the intersection of Indigenous Studies, Environmental Studies, and Literary and Visual Arts modernisms. He is at work on two book projects : Ordinary Empire : Native Modernisms and the Ecologies of Settlement and Scale Exhaustion : The Aesthetics of Environmentalism. He received his PhD in English and Native American Studies from the University of Wisconsin-Madison.(c) 2017 Tufts University. All rights reserved. Site designed & maintained by Tufts Technology Services(TTS)."
0,"In 2006, she partnered with the university to develop a course titled Retaining Identity : the role of creativity in the healthcare setting.The class matched students with persons with dementia, encouraging them to find ways to use creativity and art to brighten spirits.The class explored the potential of'art to lift the human spirit in times of illness.",Professor,0,21,0,Female,5,4 5 0 ,5 ,4 5 ,4 5 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,5. Teacher,4. Psychologist  5. Teacher,4. Psychologist  5. Teacher,"In 2006, she partnered with the university to develop a course titled Retaining Identity : the role of creativity in the healthcare setting. The class matched students with persons with dementia, encouraging them to find ways to use creativity and art to brighten spirits. The class explored the potential of'art to lift the human spirit in times of illness.'As a leader in the course, Mondro wanted to create a stunning metaphor that highlights the relationship between patients and their caregivers. Using thin gauge copper wire, Mondro meticulously crocheted a realistic 3D model of a heart. It's anatomically correct down to the very last detail ! """
1,"Prior to that, he was a Research Associate at the Center for Automation Research, University of Maryland, College Park, MD, from 2009-11.He received M.S.and Ph.D. degrees in Electrical Engineering from the University of Maryland, College Park, MD, in 2008 and 2009 respectively, and the B.Tech.",Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,4 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,4. Psychologist  0. Professor,"Prior to that, he was a Research Associate at the Center for Automation Research, University of Maryland, College Park, MD, from 2009-11. He received M.S. and Ph.D. degrees in Electrical Engineering from the University of Maryland, College Park, MD, in 2008 and 2009 respectively, and the B.Tech. degree in Electronics and Communication Engineering from the Indian Institute of Technology, Guwahati, India, in 2004. His research interests are in computer vision, applied statistics, and machine learning with applications to human activity analysis, video summarization, and dynamic scene analysis. He was awarded the Distinguished Dissertation Fellowship in 2009. He was selected to participate in the Emerging Leaders in Multimedia Workshop by IBM, New York, in 2008."
2,"He earned his Ph.D. from Missouri University of Science & Technology in metallurgical engineering in 2004.His current research interests span across various facets of innovative processing, microstructure, and mechanical characterization of high-temperature energy materials with a specific focus on nuclear materials.",Professor,0,21,1,Male,0,1 7 0 ,0 ,0 ,1 0 ,The best answer is 0. Professor.,1. Physician  7. Surgeon  0. Professor,0. Professor,0. Professor,1. Physician  0. Professor,"He earned his Ph.D. from Missouri University of Science & Technology in metallurgical engineering in 2004. His current research interests span across various facets of innovative processing, microstructure, and mechanical characterization of high-temperature energy materials with a specific focus on nuclear materials. He has considerable research experience in high-temperature creep, superplasticity, friction stir welding processing, and spark plasma sintering. Charit is the author or co-author of about 80 publications in various journals and conference proceedings along with a textbook on nuclear materials. He is professional engineer(PE) licensed in Idaho."
3,"Scripps School of Journalism where she teaches TV News Producing and Broadcast News. She has over 20 years of experience working in local television news as an award winning reporter, and executive producer. Rogus has traveled to Ukraine and Indonesia to conduct workshops for television journalist in emerging democracies. Click Here for More Information on Mary Rogus.",Professor,0,21,0,Female,3,2 3 5 ,3 ,3 ,3 ,The best answer is 0. Professor.,2. Photographer  3. Journalist  5. Teacher,3. Journalist,3. Journalist,3. Journalist,"Scripps School of Journalism where she teaches TV News Producing and Broadcast News. She has over 20 years of experience working in local television news as an award winning reporter, and executive producer. Rogus has traveled to Ukraine and Indonesia to conduct workshops for television journalist in emerging democracies. Click Here for More Information on Mary Rogus."
4,"She has an undergraduate degree in Biology and Environmental Science from the University of California, Berkeley, and received her PhD from the University of Washington's School of Fisheries.",Professor,0,21,0,Female,0,1 3 0 ,0 ,0 ,0 ,The best answer is 0. Professor.,1. Physician  3. Journalist  0. Professor,0. Professor,0. Professor,0. Professor,"She has an undergraduate degree in Biology and Environmental Science from the University of California, Berkeley, and received her PhD from the University of Washington's School of Fisheries. After completing her PhD, Beth worked for the Wildlife Conservation Society(WCS) as the first Constantine S. Niarchos Fellow in Marine Conservation, and did a project on bycatch of endangered Humboldt penguins in the gillnet fishery out of Punta San Juan, Peru. She then served as Chief Scientist for the Pew Institute for Ocean Science, which is now the Institute for Ocean Conservation Science."
5,"His research interests encompass both theoretical foundations and system development in the areas of formal methods, software engineering and programming languages.Before joining UIUC in 2002, he was a research scientist at NASA Ames.He obtained his Ph.D. at the University of California at San Diego in 2000 and his M.S.at the University of Bucharest, Romania, in 1996.",Professor,0,21,1,Male,0,4 5 0 ,0 ,0 ,5 0 ,The best answer is 0. Professor.,4. Psychologist  5. Teacher  0. Professor,0. Professor,0. Professor,5. Teacher  0. Professor,"His research interests encompass both theoretical foundations and system development in the areas of formal methods, software engineering and programming languages. Before joining UIUC in 2002, he was a research scientist at NASA Ames. He obtained his Ph.D. at the University of California at San Diego in 2000 and his M.S. at the University of Bucharest, Romania, in 1996. He was offered the CAREER award by the NSF and the outstanding junior award by the Computer Science Department at UIUC in 2005. He won an ACM SIGSOFT distinguished paper award at ASE 2008 and the best software science paper award at ETAPS 2002. He was ranked a UIUC excellent teacher in Spring 2013, Fall 2012, Spring 2008 and Fall 2004."
