idx,prompt,label_text,label,original_label,group,group_text,top1,topk_set,avgk_set,conformal_marginal_set,conformal_conditional_set,corr_ans_text,topk_text,avgk_text,conformal_marginal_text,conformal_conditional_text
482,data/facet/images/imgs_2/sa_2239322.jpg,Singer,17,16,0,Younger,17,7 11 17,7 17,1 7 11 17,17,The best answer is 17. Singer.,7. Guitarist  11. Laborer  17. Singer,7. Guitarist  17. Singer,1. Backpacker  7. Guitarist  11. Laborer  17. Singer,17. Singer
852,data/facet/images/imgs_2/sa_4921987.jpg,Skateboarder,18,17,1,Middle,18,6 16 18,18,18,18,The best answer is 18. Skateboarder.,6. Guard  16. Salesperson  18. Skateboarder,18. Skateboarder,18. Skateboarder,18. Skateboarder
569,data/facet/images/imgs_1/sa_7900224.jpg,Speaker,19,18,1,Middle,19,10 11 19,6 10 11 18 19,10 11 18 19,10 11 18 19,The best answer is 19. Speaker.,10. Horse Rider  11. Laborer  19. Speaker,6. Guard  10. Horse Rider  11. Laborer  18. Skateboarder  19. Speaker,10. Horse Rider  11. Laborer  18. Skateboarder  19. Speaker,10. Horse Rider  11. Laborer  18. Skateboarder  19. Speaker
691,data/facet/images/imgs_1/sa_6774498.jpg,Tennis Player,20,19,1,Middle,20,11 16 20,20,20,20,The best answer is 20. Tennis Player.,11. Laborer  16. Salesperson  20. Tennis Player,20. Tennis Player,20. Tennis Player,20. Tennis Player
172,data/facet/images/imgs_2/sa_4172662.jpg,Backpacker,1,0,0,Younger,1,1 11 16,1,1,1,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker,1. Backpacker,1. Backpacker
343,data/facet/images/imgs_2/sa_3703641.jpg,Boatman,2,1,1,Middle,2,2 11 16,2,2,2,The best answer is 2. Boatman.,2. Boatman  11. Laborer  16. Salesperson,2. Boatman,2. Boatman,2. Boatman
1022,data/facet/images/imgs_1/sa_9531936.jpg,Computer User,3,2,1,Middle,11,3 11 15,3 11,3 11 15 19,3 11 15 19,The best answer is 3. Computer User.,3. Computer User  11. Laborer  15. Repairman,3. Computer User  11. Laborer,3. Computer User  11. Laborer  15. Repairman  19. Speaker,3. Computer User  11. Laborer  15. Repairman  19. Speaker
49,data/facet/images/imgs_2/sa_5875698.jpg,Craftsman,4,3,1,Middle,11,4 11 16,4 11 16,4 5 11 16,4 5 11 16,The best answer is 4. Craftsman.,4. Craftsman  11. Laborer  16. Salesperson,4. Craftsman  11. Laborer  16. Salesperson,4. Craftsman  5. Farmer  11. Laborer  16. Salesperson,4. Craftsman  5. Farmer  11. Laborer  16. Salesperson
1100,data/facet/images/imgs_2/sa_3280958.jpg,Farmer,5,4,3,Unknown,2,2 11 16,2 5 11 16,2 5 11 16,2 5 11 16,The best answer is 5. Farmer.,2. Boatman  11. Laborer  16. Salesperson,2. Boatman  5. Farmer  11. Laborer  16. Salesperson,2. Boatman  5. Farmer  11. Laborer  16. Salesperson,2. Boatman  5. Farmer  11. Laborer  16. Salesperson
562,data/facet/images/imgs_2/sa_9493488.jpg,Guard,6,5,1,Middle,6,6 12 16,6 11 12 15 16,6 12 15 16,6 12 15 16,The best answer is 6. Guard.,6. Guard  12. Officer  16. Salesperson,6. Guard  11. Laborer  12. Officer  15. Repairman  16. Salesperson,6. Guard  12. Officer  15. Repairman  16. Salesperson,6. Guard  12. Officer  15. Repairman  16. Salesperson
29,data/facet/images/imgs_2/sa_8346827.jpg,Guitarist,7,6,1,Middle,7,2 7 17,2 7 11 17 19,2 7 17 19,2 7 17 19,The best answer is 7. Guitarist.,2. Boatman  7. Guitarist  17. Singer,2. Boatman  7. Guitarist  11. Laborer  17. Singer  19. Speaker,2. Boatman  7. Guitarist  17. Singer  19. Speaker,2. Boatman  7. Guitarist  17. Singer  19. Speaker
787,data/facet/images/imgs_3/sa_3846391.jpg,Gymnast,8,7,1,Middle,8,1 8 16,1 2 8 11 16,1 8 11 16,1 8 11 16,The best answer is 8. Gymnast.,1. Backpacker  8. Gymnast  16. Salesperson,1. Backpacker  2. Boatman  8. Gymnast  11. Laborer  16. Salesperson,1. Backpacker  8. Gymnast  11. Laborer  16. Salesperson,1. Backpacker  8. Gymnast  11. Laborer  16. Salesperson
628,data/facet/images/imgs_3/sa_4423695.jpg,Hairdresser,9,8,0,Younger,9,4 9 11,9,9,9,The best answer is 9. Hairdresser.,4. Craftsman  9. Hairdresser  11. Laborer,9. Hairdresser,9. Hairdresser,9. Hairdresser
1011,data/facet/images/imgs_3/sa_3190665.jpg,Horse Rider,10,9,0,Younger,10,8 10 12,10,8 10,10,The best answer is 10. Horse Rider.,8. Gymnast  10. Horse Rider  12. Officer,10. Horse Rider,8. Gymnast  10. Horse Rider,10. Horse Rider
620,data/facet/images/imgs_2/sa_1560587.jpg,Laborer,11,10,3,Unknown,11,11 15 16,11 15,11 15,11 15,The best answer is 11. Laborer.,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  15. Repairman,11. Laborer  15. Repairman,11. Laborer  15. Repairman
978,data/facet/images/imgs_1/sa_719752.jpg,Officer,12,11,1,Middle,16,6 11 16,1 6 11 12 13 16,6 11 12 16,6 11 12 16,The best answer is 12. Officer.,6. Guard  11. Laborer  16. Salesperson,1. Backpacker  6. Guard  11. Laborer  12. Officer  13. Motorcyclist  16. Salesperson,6. Guard  11. Laborer  12. Officer  16. Salesperson,6. Guard  11. Laborer  12. Officer  16. Salesperson
954,data/facet/images/imgs_2/sa_3428772.jpg,Motorcyclist,13,12,1,Middle,13,6 12 13,13,13,13,The best answer is 13. Motorcyclist.,6. Guard  12. Officer  13. Motorcyclist,13. Motorcyclist,13. Motorcyclist,13. Motorcyclist
688,data/facet/images/imgs_2/sa_59231.jpg,Painter,14,13,3,Unknown,14,2 14 16,14,14,14,The best answer is 14. Painter.,2. Boatman  14. Painter  16. Salesperson,14. Painter,14. Painter,14. Painter
1151,data/facet/images/imgs_2/sa_4767782.jpg,Repairman,15,14,1,Middle,15,11 15 16,11 15,11 15 16,4 11 15 16,The best answer is 15. Repairman.,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  15. Repairman,11. Laborer  15. Repairman  16. Salesperson,4. Craftsman  11. Laborer  15. Repairman  16. Salesperson
245,data/facet/images/imgs_2/sa_6088412.jpg,Salesperson,16,15,1,Middle,2,2 6 9,2 6,2 6,2 6 9 17,The best answer is 16. Salesperson.,2. Boatman  6. Guard  9. Hairdresser,2. Boatman  6. Guard,2. Boatman  6. Guard,2. Boatman  6. Guard  9. Hairdresser  17. Singer
42,data/facet/images/imgs_2/sa_3272603.jpg,Singer,17,16,1,Middle,17,3 10 17,10 17,10 17,1 3 10 17,The best answer is 17. Singer.,3. Computer User  10. Horse Rider  17. Singer,10. Horse Rider  17. Singer,10. Horse Rider  17. Singer,1. Backpacker  3. Computer User  10. Horse Rider  17. Singer
864,data/facet/images/imgs_2/sa_3135630.jpg,Skateboarder,18,17,0,Younger,18,6 8 18,18,18,18,The best answer is 18. Skateboarder.,6. Guard  8. Gymnast  18. Skateboarder,18. Skateboarder,18. Skateboarder,18. Skateboarder
1175,data/facet/images/imgs_1/sa_8011527.jpg,Speaker,19,18,2,Older,16,10 16 19,6 8 10 16 17 19,6 10 16 19,6 10 16 17 19,The best answer is 19. Speaker.,10. Horse Rider  16. Salesperson  19. Speaker,6. Guard  8. Gymnast  10. Horse Rider  16. Salesperson  17. Singer  19. Speaker,6. Guard  10. Horse Rider  16. Salesperson  19. Speaker,6. Guard  10. Horse Rider  16. Salesperson  17. Singer  19. Speaker
684,data/facet/images/imgs_1/sa_6886440.jpg,Tennis Player,20,19,1,Middle,20,11 14 20,20,20,20,The best answer is 20. Tennis Player.,11. Laborer  14. Painter  20. Tennis Player,20. Tennis Player,20. Tennis Player,20. Tennis Player
200,data/facet/images/imgs_2/sa_4179059.jpg,Backpacker,1,0,0,Younger,6,6 15 16,1 6 15 16,1 6 15 16,6 15 16,The best answer is 1. Backpacker.,6. Guard  15. Repairman  16. Salesperson,1. Backpacker  6. Guard  15. Repairman  16. Salesperson,1. Backpacker  6. Guard  15. Repairman  16. Salesperson,6. Guard  15. Repairman  16. Salesperson
344,data/facet/images/imgs_2/sa_2148689.jpg,Boatman,2,1,1,Middle,2,2 11 16,2,2 11,2 11 16,The best answer is 2. Boatman.,2. Boatman  11. Laborer  16. Salesperson,2. Boatman,2. Boatman  11. Laborer,2. Boatman  11. Laborer  16. Salesperson
427,data/facet/images/imgs_1/sa_9431123.jpg,Computer User,3,2,3,Unknown,3,3 11 16,3 11 15 16 19,3 11 16 19,3 11 16 19,The best answer is 3. Computer User.,3. Computer User  11. Laborer  16. Salesperson,3. Computer User  11. Laborer  15. Repairman  16. Salesperson  19. Speaker,3. Computer User  11. Laborer  16. Salesperson  19. Speaker,3. Computer User  11. Laborer  16. Salesperson  19. Speaker
346,data/facet/images/imgs_2/sa_4171439.jpg,Craftsman,4,3,1,Middle,11,4 11 16,2 4 11 16,2 4 11 16,2 4 11 16,The best answer is 4. Craftsman.,4. Craftsman  11. Laborer  16. Salesperson,2. Boatman  4. Craftsman  11. Laborer  16. Salesperson,2. Boatman  4. Craftsman  11. Laborer  16. Salesperson,2. Boatman  4. Craftsman  11. Laborer  16. Salesperson
1103,data/facet/images/imgs_2/sa_3125169.jpg,Farmer,5,4,1,Middle,5,4 5 11,5 11,5 11,5 11,The best answer is 5. Farmer.,4. Craftsman  5. Farmer  11. Laborer,5. Farmer  11. Laborer,5. Farmer  11. Laborer,5. Farmer  11. Laborer
931,data/facet/images/imgs_2/sa_9746976.jpg,Guard,6,5,1,Middle,6,4 6 10,6,6,6,The best answer is 6. Guard.,4. Craftsman  6. Guard  10. Horse Rider,6. Guard,6. Guard,6. Guard
1357,data/facet/images/imgs_3/sa_2580064.jpg,Guitarist,7,6,1,Middle,17,3 7 17,3 6 7 10 14 17 19,3 7 14 17,3 7 14 17,The best answer is 7. Guitarist.,3. Computer User  7. Guitarist  17. Singer,3. Computer User  6. Guard  7. Guitarist  10. Horse Rider  14. Painter  17. Singer  19. Speaker,3. Computer User  7. Guitarist  14. Painter  17. Singer,3. Computer User  7. Guitarist  14. Painter  17. Singer
847,data/facet/images/imgs_3/sa_1296601.jpg,Gymnast,8,7,1,Middle,8,3 8 20,8,8,8,The best answer is 8. Gymnast.,3. Computer User  8. Gymnast  20. Tennis Player,8. Gymnast,8. Gymnast,8. Gymnast
1268,data/facet/images/imgs_3/sa_5179643.jpg,Hairdresser,9,8,1,Middle,9,4 9 15,4 9 11 15,4 9 11 15,4 9 11 15,The best answer is 9. Hairdresser.,4. Craftsman  9. Hairdresser  15. Repairman,4. Craftsman  9. Hairdresser  11. Laborer  15. Repairman,4. Craftsman  9. Hairdresser  11. Laborer  15. Repairman,4. Craftsman  9. Hairdresser  11. Laborer  15. Repairman
1017,data/facet/images/imgs_3/sa_1476633.jpg,Horse Rider,10,9,1,Middle,10,5 10 12,10 12,10 12,5 10 12,The best answer is 10. Horse Rider.,5. Farmer  10. Horse Rider  12. Officer,10. Horse Rider  12. Officer,10. Horse Rider  12. Officer,5. Farmer  10. Horse Rider  12. Officer
163,data/facet/images/imgs_2/sa_3503895.jpg,Laborer,11,10,1,Middle,11,11 15 16,11 15,11 15 16,11 15 16,The best answer is 11. Laborer.,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  15. Repairman,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  15. Repairman  16. Salesperson
454,data/facet/images/imgs_1/sa_7617303.jpg,Officer,12,11,1,Middle,6,6 11 13,6,6 11 13 16,6 11 13 16,The best answer is 12. Officer.,6. Guard  11. Laborer  13. Motorcyclist,6. Guard,6. Guard  11. Laborer  13. Motorcyclist  16. Salesperson,6. Guard  11. Laborer  13. Motorcyclist  16. Salesperson
952,data/facet/images/imgs_2/sa_5333880.jpg,Motorcyclist,13,12,0,Younger,13,11 13 18,13,13,13,The best answer is 13. Motorcyclist.,11. Laborer  13. Motorcyclist  18. Skateboarder,13. Motorcyclist,13. Motorcyclist,13. Motorcyclist
116,data/facet/images/imgs_2/sa_7391541.jpg,Painter,14,13,0,Younger,11,4 11 14,4 11 14,4 11 14 16,11 14,The best answer is 14. Painter.,4. Craftsman  11. Laborer  14. Painter,4. Craftsman  11. Laborer  14. Painter,4. Craftsman  11. Laborer  14. Painter  16. Salesperson,11. Laborer  14. Painter
1140,data/facet/images/imgs_2/sa_3332908.jpg,Repairman,15,14,1,Middle,15,11 15 16,11 15 16,11 13 15 16,11 13 15 16,The best answer is 15. Repairman.,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  15. Repairman  16. Salesperson,11. Laborer  13. Motorcyclist  15. Repairman  16. Salesperson,11. Laborer  13. Motorcyclist  15. Repairman  16. Salesperson
246,data/facet/images/imgs_2/sa_5136558.jpg,Salesperson,16,15,1,Middle,16,1 6 16,1 6 16,1 6 9 16,1 6 9 16,The best answer is 16. Salesperson.,1. Backpacker  6. Guard  16. Salesperson,1. Backpacker  6. Guard  16. Salesperson,1. Backpacker  6. Guard  9. Hairdresser  16. Salesperson,1. Backpacker  6. Guard  9. Hairdresser  16. Salesperson
477,data/facet/images/imgs_2/sa_2742722.jpg,Singer,17,16,1,Middle,17,6 17 19,17,6 17 19,6 7 17 19,The best answer is 17. Singer.,6. Guard  17. Singer  19. Speaker,17. Singer,6. Guard  17. Singer  19. Speaker,6. Guard  7. Guitarist  17. Singer  19. Speaker
638,data/facet/images/imgs_2/sa_2874174.jpg,Skateboarder,18,17,1,Middle,18,11 16 18,18,18,18,The best answer is 18. Skateboarder.,11. Laborer  16. Salesperson  18. Skateboarder,18. Skateboarder,18. Skateboarder,18. Skateboarder
248,data/facet/images/imgs_1/sa_7663575.jpg,Speaker,19,18,1,Middle,1,1 9 12,1 4 5 6 8 9 11 12 13 16 17,1 9 11 12,1 9 11 12,The best answer is 19. Speaker.,1. Backpacker  9. Hairdresser  12. Officer,1. Backpacker  4. Craftsman  5. Farmer  6. Guard  8. Gymnast  9. Hairdresser  11. Laborer  12. Officer  13. Motorcyclist  16. Salesperson  17. Singer,1. Backpacker  9. Hairdresser  11. Laborer  12. Officer,1. Backpacker  9. Hairdresser  11. Laborer  12. Officer
767,data/facet/images/imgs_1/sa_6035884.jpg,Tennis Player,20,19,1,Middle,20,11 14 20,20,20,20,The best answer is 20. Tennis Player.,11. Laborer  14. Painter  20. Tennis Player,20. Tennis Player,20. Tennis Player,20. Tennis Player
552,data/facet/images/imgs_2/sa_4868760.jpg,Backpacker,1,0,0,Younger,1,1 11 16,1 11 16 18,1 11 16 18,1 11 16 18,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  11. Laborer  16. Salesperson  18. Skateboarder,1. Backpacker  11. Laborer  16. Salesperson  18. Skateboarder,1. Backpacker  11. Laborer  16. Salesperson  18. Skateboarder
476,data/facet/images/imgs_2/sa_3106168.jpg,Backpacker,1,0,0,Younger,1,1 5 11,1,1,1,The best answer is 1. Backpacker.,1. Backpacker  5. Farmer  11. Laborer,1. Backpacker,1. Backpacker,1. Backpacker
1020,data/facet/images/imgs_2/sa_5007377.jpg,Backpacker,1,0,3,Unknown,18,10 11 18,1 2 5 6 10 11 14 15 16 18,6 10 11 18,6 10 11 18,The best answer is 1. Backpacker.,10. Horse Rider  11. Laborer  18. Skateboarder,1. Backpacker  2. Boatman  5. Farmer  6. Guard  10. Horse Rider  11. Laborer  14. Painter  15. Repairman  16. Salesperson  18. Skateboarder,6. Guard  10. Horse Rider  11. Laborer  18. Skateboarder,6. Guard  10. Horse Rider  11. Laborer  18. Skateboarder
1033,data/facet/images/imgs_2/sa_4681601.jpg,Backpacker,1,0,3,Unknown,8,6 8 16,5 6 8 10 11 14 15 16 17 18,6 8 11 16,6 8 11 16,The best answer is 1. Backpacker.,6. Guard  8. Gymnast  16. Salesperson,5. Farmer  6. Guard  8. Gymnast  10. Horse Rider  11. Laborer  14. Painter  15. Repairman  16. Salesperson  17. Singer  18. Skateboarder,6. Guard  8. Gymnast  11. Laborer  16. Salesperson,6. Guard  8. Gymnast  11. Laborer  16. Salesperson
1397,data/facet/images/imgs_2/sa_4909628.jpg,Backpacker,1,0,0,Younger,16,1 11 16,1 16,1 9 11 16,1 16,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  16. Salesperson,1. Backpacker  9. Hairdresser  11. Laborer  16. Salesperson,1. Backpacker  16. Salesperson
21,data/facet/images/imgs_2/sa_1930587.jpg,Backpacker,1,0,1,Middle,11,6 10 11,3 6 10 11 18 19 20,3 6 10 11,3 6 10 11,The best answer is 1. Backpacker.,6. Guard  10. Horse Rider  11. Laborer,3. Computer User  6. Guard  10. Horse Rider  11. Laborer  18. Skateboarder  19. Speaker  20. Tennis Player,3. Computer User  6. Guard  10. Horse Rider  11. Laborer,3. Computer User  6. Guard  10. Horse Rider  11. Laborer
1270,data/facet/images/imgs_2/sa_2617066.jpg,Backpacker,1,0,0,Younger,1,1 11 16,1,1,1,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker,1. Backpacker,1. Backpacker
670,data/facet/images/imgs_2/sa_2739622.jpg,Backpacker,1,0,3,Unknown,1,1 3 16,1 3 6 11 16 18,1 3 11 16,1 3 11 16,The best answer is 1. Backpacker.,1. Backpacker  3. Computer User  16. Salesperson,1. Backpacker  3. Computer User  6. Guard  11. Laborer  16. Salesperson  18. Skateboarder,1. Backpacker  3. Computer User  11. Laborer  16. Salesperson,1. Backpacker  3. Computer User  11. Laborer  16. Salesperson
673,data/facet/images/imgs_2/sa_2119164.jpg,Backpacker,1,0,1,Middle,1,1 6 11,1,1,1 11,The best answer is 1. Backpacker.,1. Backpacker  6. Guard  11. Laborer,1. Backpacker,1. Backpacker,1. Backpacker  11. Laborer
674,data/facet/images/imgs_2/sa_3450902.jpg,Backpacker,1,0,3,Unknown,6,2 6 11,2 6,2 6 11,2 6 11,The best answer is 1. Backpacker.,2. Boatman  6. Guard  11. Laborer,2. Boatman  6. Guard,2. Boatman  6. Guard  11. Laborer,2. Boatman  6. Guard  11. Laborer
676,data/facet/images/imgs_2/sa_3075760.jpg,Backpacker,1,0,1,Middle,1,1 11 16,1 11 16,1 11 16,1 5 11 16,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  5. Farmer  11. Laborer  16. Salesperson
293,data/facet/images/imgs_2/sa_3152828.jpg,Backpacker,1,0,1,Middle,16,1 15 16,1 3 6 11 15 16 18,1 11 15 16,1 11 15 16,The best answer is 1. Backpacker.,1. Backpacker  15. Repairman  16. Salesperson,1. Backpacker  3. Computer User  6. Guard  11. Laborer  15. Repairman  16. Salesperson  18. Skateboarder,1. Backpacker  11. Laborer  15. Repairman  16. Salesperson,1. Backpacker  11. Laborer  15. Repairman  16. Salesperson
748,data/facet/images/imgs_2/sa_502763.jpg,Backpacker,1,0,1,Middle,16,1 11 16,1 11 16,1 2 11 16,1 2 11 16,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker  2. Boatman  11. Laborer  16. Salesperson,1. Backpacker  2. Boatman  11. Laborer  16. Salesperson
96,data/facet/images/imgs_2/sa_5456797.jpg,Backpacker,1,0,1,Middle,16,11 15 16,16,11 16,11 14 15 16,The best answer is 1. Backpacker.,11. Laborer  15. Repairman  16. Salesperson,16. Salesperson,11. Laborer  16. Salesperson,11. Laborer  14. Painter  15. Repairman  16. Salesperson
1297,data/facet/images/imgs_2/sa_4672827.jpg,Backpacker,1,0,1,Middle,13,13 16 18,6 9 10 13 14 16 18,10 13 16 18,10 13 16 18,The best answer is 1. Backpacker.,13. Motorcyclist  16. Salesperson  18. Skateboarder,6. Guard  9. Hairdresser  10. Horse Rider  13. Motorcyclist  14. Painter  16. Salesperson  18. Skateboarder,10. Horse Rider  13. Motorcyclist  16. Salesperson  18. Skateboarder,10. Horse Rider  13. Motorcyclist  16. Salesperson  18. Skateboarder
122,data/facet/images/imgs_2/sa_4681797.jpg,Backpacker,1,0,2,Older,1,1 6 16,1 6 16,1 6 15 16,1 6 15 16 18,The best answer is 1. Backpacker.,1. Backpacker  6. Guard  16. Salesperson,1. Backpacker  6. Guard  16. Salesperson,1. Backpacker  6. Guard  15. Repairman  16. Salesperson,1. Backpacker  6. Guard  15. Repairman  16. Salesperson  18. Skateboarder
1154,data/facet/images/imgs_2/sa_3676755.jpg,Backpacker,1,0,1,Middle,1,1 6 20,1 6 20,1 6 17 20,1 6 17 20,The best answer is 1. Backpacker.,1. Backpacker  6. Guard  20. Tennis Player,1. Backpacker  6. Guard  20. Tennis Player,1. Backpacker  6. Guard  17. Singer  20. Tennis Player,1. Backpacker  6. Guard  17. Singer  20. Tennis Player
1047,data/facet/images/imgs_2/sa_4147900.jpg,Backpacker,1,0,0,Younger,10,1 6 10,1 6 10 13 20,1 6 10 13,1 6 10 13,The best answer is 1. Backpacker.,1. Backpacker  6. Guard  10. Horse Rider,1. Backpacker  6. Guard  10. Horse Rider  13. Motorcyclist  20. Tennis Player,1. Backpacker  6. Guard  10. Horse Rider  13. Motorcyclist,1. Backpacker  6. Guard  10. Horse Rider  13. Motorcyclist
1051,data/facet/images/imgs_2/sa_3816936.jpg,Backpacker,1,0,0,Younger,1,1 11 16,1,1 16,1,The best answer is 1. Backpacker.,1. Backpacker  11. Laborer  16. Salesperson,1. Backpacker,1. Backpacker  16. Salesperson,1. Backpacker
402,data/facet/images/imgs_2/sa_2065267.jpg,Backpacker,1,0,0,Younger,1,1 3 16,1,1,1,The best answer is 1. Backpacker.,1. Backpacker  3. Computer User  16. Salesperson,1. Backpacker,1. Backpacker,1. Backpacker
531,data/facet/images/imgs_2/sa_3432353.jpg,Backpacker,1,0,2,Older,6,6 11 14,1 3 6 10 11 12 14 16,3 6 11 14,3 6 11 14 16,The best answer is 1. Backpacker.,6. Guard  11. Laborer  14. Painter,1. Backpacker  3. Computer User  6. Guard  10. Horse Rider  11. Laborer  12. Officer  14. Painter  16. Salesperson,3. Computer User  6. Guard  11. Laborer  14. Painter,3. Computer User  6. Guard  11. Laborer  14. Painter  16. Salesperson
